"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.10",1779.96076624144,0.0111220186894679,0.0660688109326278,0.168339925185113,0.866315866254164,0.997451425643941
"ENSG00000000005.5",0.207420051679474,0.932495538949347,5.26790435362004,0.177014515897303,0.85949698759531,NA
"ENSG00000000419.8",928.476001546475,-0.0964908331109736,0.126890767637998,-0.760424378440588,0.44700095577521,0.905020331483348
"ENSG00000000457.9",391.633104850622,0.074956179335689,0.181556754351522,0.412852606907492,0.679714605796647,0.986783209499618
"ENSG00000000460.12",620.982144060904,0.0328897161599122,0.16449901427013,0.199938682343123,0.841528537059285,0.997004401209082
"ENSG00000000938.8",0.325405126287646,-2.67713807163931,5.19351503302228,-0.51547710069521,0.606219667391098,NA
"ENSG00000000971.11",596.833836223582,-0.504831934437673,0.128970174590134,-3.9143308601545,0.0000906552584748936,0.0023520522387816
"ENSG00000001036.9",8041.69046684668,0.114804863021678,0.0663776625351361,1.72957074167695,0.0837069972531486,0.424437763103608
"ENSG00000001084.6",6411.04669199546,-0.100966571800113,0.20505713721942,-0.492382626468031,0.62244887880306,0.97235481901932
"ENSG00000001167.10",1804.77968273745,-0.0303493407059638,0.276558364364462,-0.109739370117072,0.912616076120814,0.998662094625148
"ENSG00000001460.13",557.147449356513,0.830218913218089,0.0966347062317083,8.59131202021156,0.0000000000000000085981788931096,0.00000000000000173110001714607
"ENSG00000001461.12",1300.70488353404,0.609510623674468,0.223869112997029,2.72262044332376,0.00647664202364763,0.0761068440132913
"ENSG00000001497.12",1671.74024454185,-0.0181777532911389,0.207562878235858,-0.0875770920389874,0.930212810111565,0.999690041663794
"ENSG00000001561.6",167.652836940489,0.778011415303005,0.299495360153393,2.59774112996118,0.00938392087103695,0.0990889546522083
"ENSG00000001617.7",259.54758945551,0.701242766276216,0.143046719278639,4.90219398118647,0.000000947721814455309,0.0000438975441664883
"ENSG00000001626.10",623.795234557267,-0.374934316168383,0.309887446283044,-1.20990482404352,0.22631541593838,0.714779916475535
"ENSG00000001629.5",2781.00111347727,0.23370670235656,0.32298859192329,0.723575718154361,0.469326253129564,0.916615092301364
