"","1","2","3","4","5","6","7","8","9"
"ENSG00000000003.10",1828.72735350174,1715.43659545728,1727.20862221553,1980.86992131531,2040.60824394611,2025.26475190035,1800.67555577609,1811.76423723775,1847.3104877035
"ENSG00000000005.5",0,0.791459816871429,0,0,1.02020904039573,0,0,1.02034271428049,0
"ENSG00000000419.8",832.9857749458,730.015680490549,742.199257984958,969.037216251583,1064.92018307027,909.991792418475,1011.44060346905,996.010855925881,1025.2787542738
"ENSG00000000457.9",426.074735437711,396.856086751171,480.409866479434,412.638232298668,371.055538659455,340.687802427754,384.716180476923,360.686948271733,444.902434335012
"ENSG00000000460.12",400.957302924569,395.50661193187,393.995954610595,677.847269182905,607.084478704051,611.618437052022,908.549189553296,800.335436671458,978.355256687738
"ENSG00000000938.8",0,0,0,0,0,0,0,0,0
"ENSG00000000971.11",516.004045934643,485.280615218437,516.024712916942,397.331156806581,463.484476224078,360.906141363134,622.457872564679,465.45748248268,544.419089181443
"ENSG00000001036.9",5854.11986419479,5995.44737149407,5938.7167409019,8756.02579969726,9279.96712379344,9390.87711886762,9962.89834779665,10493.214042362,9473.9057648175
"ENSG00000001084.6",6882.55450578102,6669.85791636991,6299.3395304804,8927.30321190288,8955.87109612514,8164.00252424469,4985.89058102206,3937.30369678328,5356.94874007566
"ENSG00000001167.10",1651.02918186097,1605.99983930916,1645.23477712728,1831.36178223997,1842.95713721291,1592.56161285963,2354.64433670791,1844.33342417067,2270.30808521321
"ENSG00000001460.13",784.466723479338,747.036023941477,792.822553782431,450.071924327348,453.710976843725,544.466852541054,774.163392166745,814.461453878031,773.479523531992
"ENSG00000001461.12",1688.15774069121,1710.27916962466,1673.88550792578,1176.67495339254,1279.50742599513,1041.42328492803,1620.06094973312,1449.01045677866,1890.80406856813
"ENSG00000001497.12",1022.74218212013,1116.09646536179,1115.19233194726,1791.12650252321,1620.66539481081,1827.75375786966,2074.79743515051,2536.1048199477,1950.38915553655
"ENSG00000001561.6",243.051364738731,216.384540103024,249.06032330344,196.113648136744,204.35703559588,171.761195205132,213.573891551095,169.990949319329,261.69881358342
"ENSG00000001617.7",264.611682534819,253.380842994157,228.168907397871,377.083530575491,352.167890103431,392.290282312118,323.026908611544,358.193491615285,275.580604361166
"ENSG00000001626.10",1170.22196870318,1238.91283451431,1014.8599248044,391.881670413049,401.059695467307,269.478532103456,556.865951201752,508.703041571123,788.192085065247
"ENSG00000001629.5",3637.1827405875,3507.85541007305,3653.31717575003,3487.6848210091,3403.64831009169,2753.83623505171,3105.71896468563,2218.95531599249,3428.39013134793
"ENSG00000001630.11",3439.76715813275,3241.76335653306,3223.46448695245,6125.15717660511,6425.53734909908,5806.4547500291,4865.45269479654,4181.34498910372,5047.66799311425
"ENSG00000001631.10",1289.46434734158,1384.7729091003,1399.30723267459,1577.37677522895,1361.89070765901,1277.2702604475,1253.17245203172,1063.92054684672,1416.55272984051
"ENSG00000002016.12",300.161450927476,300.915606691814,299.543512449644,314.22119366145,256.02318257095,271.852545357554,237.746796872369,171.123220026069,291.678919906939
"ENSG00000002330.9",941.4453167711,966.500802528284,972.91024366302,1133.26276089035,1001.15823871277,1346.37873510698,1154.41070018206,1387.92146124704,1102.97564449568
"ENSG00000002549.8",1412.11260918402,1415.62517961052,1462.99976740927,2070.37364626799,1990.69953486901,2087.57302093721,2512.5398785755,2705.05296785206,2487.10487679947
"ENSG00000002586.13",16013.5071157515,16252.7099290185,16231.8520060392,16698.0818251924,17202.6693879231,19864.7366821767,17703.7558387105,20330.5991674577,16104.3298540629
"ENSG00000002587.5",120.765879813209,43.021499328232,76.5443713921566,200.289641458022,61.0324211597919,126.423716582532,67.0396654421233,58.3225696783658,160.022635829012
"ENSG00000002726.15",0,0,0,0,0,0,0,2.06021113688748,0
"ENSG00000002745.8",2.22072948068138,5.18614166503174,3.29966788410619,15.332047011395,20.2116876741056,18.2704742053492,5.27847715939256,4.73269125941028,4.20897484517605
"ENSG00000002746.10",35.2666461644123,40.4360104608332,69.3793989762913,17.1625208738318,20.6057839559128,6.33759240658794,8.97544495571284,9.18715453962063,13.2683316060882
"ENSG00000002822.11",389.417570050105,363.882891269753,466.484451222458,392.635427415137,431.567271766774,601.048290489289,504.279306408281,697.887105096671,446.429584574992
"ENSG00000002834.13",10092.3792552463,9866.13829777976,9741.68697274297,16200.7223713615,16366.7904683627,17002.9975714057,12117.0434497879,12563.3172505988,11969.4150404885
"ENSG00000002919.10",1134.30844032119,1008.40398222924,1049.47985955961,933.961368720585,869.849144763845,887.018581553072,924.695438991327,904.611424660992,715.355460264847
"ENSG00000002933.3",0,0,2.63950104008222,0,0,1.09835287003422,0,0,0
"ENSG00000003056.3",3085.33180151694,3118.21929174644,3110.91996059047,2819.28281550057,3032.28009461851,2927.24857282676,2629.97558403093,2610.87138635051,2630.40814998484
"ENSG00000003096.9",15.5830287220347,18.9797862404015,13.8561370940833,29.3496352256751,32.8530638312442,30.2389797265167,45.7872532101645,25.1798009105285,32.2262042693665
"ENSG00000003137.4",5257.87048790449,4823.23257252755,5270.68470523106,6058.51228058816,6218.20913266257,6168.01911396533,6366.64184740389,6071.71904753661,5952.22443467824
"ENSG00000003147.13",237.112722341378,220.361042053217,250.288038736095,291.33528789818,284.435417836393,244.853026011457,258.129942744135,273.921490531849,226.168305614009
"ENSG00000003249.9",2569.21803822186,2721.57534376893,2637.22962993467,2525.92095384798,2525.74736215167,2816.05609934878,2236.67371379007,2523.98585906134,2028.1793226723
"ENSG00000003393.10",1981.03919439501,1886.52532918784,1987.59911636396,1262.50219420749,1442.79441510804,1182.18243199172,1362.64580420028,1158.89836400684,1309.55374277267
"ENSG00000003400.10",505.846349606547,517.339922518843,496.316376343226,474.193424599133,453.981482578712,470.644751053279,394.074265149907,491.656651267135,478.482573516011
"ENSG00000003402.15",6445.26825207339,6176.77331284816,6406.65229818697,2648.369935196,2664.56867671683,2520.98510454538,3005.87166308146,2961.23647061733,2844.06799249821
"ENSG00000003436.10",7373.97647397158,7440.80761091274,7338.4804260614,7078.24443301258,7357.1718470741,6383.65306487107,5020.5582637014,4762.84256656714,5637.25681994633
"ENSG00000003509.11",298.072275775042,275.546090763127,324.169620396169,445.35282087076,357.659068865429,338.411969144469,338.936736189669,359.932658374508,338.535121212863
